kagakueigano_ichi_kosatsu.txt,単語,頻度,gorono_ronri.txt,単語,頻度,kagaku_bumueno_kugen.txt,単語,頻度,bito_kagaku.txt,単語,頻度,kagakuteki_seishintowa_nanika.txt,単語,頻度,senkono_hi.txt,単語,頻度,gengoto_dogu.txt,単語,頻度,kagakuteki_hohono_tekiyosarenu_baai.txt,単語,頻度,gijutsuno_tetsugaku.txt,単語,頻度,kagaku_jicho.txt,単語,頻度,hanashino_tane.txt,単語,頻度,hikaku_kagakuron.txt,単語,頻度,kokeino_ronri.txt,単語,頻度,futatabi_kagakuno_rekishiteki.txt,単語,頻度,jikkenshitsuno_kioku.txt,単語,頻度,terebino_kagakubangumi.txt,単語,頻度,nihon_saiken.txt,単語,頻度,haru6dai.txt,単語,頻度,ryotekito_shitsuteki.txt,単語,頻度,mangato_kagaku.txt,単語,頻度,gijutsuteki_seishintowa_nanika.txt,単語,頻度,kagakuwa_yakuni_tatsuka.txt,単語,頻度,gijutsue_iku_mondai.txt,単語,頻度,unescoto_kagaku.txt,単語,頻度,saijiki_shinchu.txt,単語,頻度,kagakuto_kagakuno_kannen.txt,単語,頻度,kagakushato_atama.txt,単語,頻度,chikyuno_marui_hanashi.txt,単語,頻度,risshunno_tamago.txt,単語,頻度,seisan'o_mokuhyotosuru_kagaku.txt,単語,頻度,futatabi_kagakuteki_seishinni_tsuite.txt,単語,頻度,mannenfude_ran_yori.txt,単語,頻度,kagakuto_bunka.txt,単語,頻度,kagakuga_hesoo_mageta.txt,単語,頻度,kagakuno_joshiki.txt,単語,頻度,ujino_koyo.txt,単語,頻度,kagakuni_kokorozasu_hitoe.txt,単語,頻度,warerano_tetsugaku.txt,単語,頻度,kokuminno_jinkaku_kojo.txt,単語,頻度,kagakuno_fushigi.txt,単語,頻度,kagakusyato_geijutsuka.txt,単語,頻度,kagakujoni_okeru_ken'ino_kachito_heigai.txt,単語,頻度,minami_taiheiyo_kagaku.txt,単語,頻度,nihonbunkato_kagakuteki_shiso.txt,単語,頻度,saikin_nihonno_kagakuron.txt,単語,頻度,chawanno_yu.txt,単語,頻度,hosokuni_tsuite.txt,単語,頻度,kagakujono_kotto_shumito_onkochishin.txt,単語,頻度,kokuboto_kagaku.txt,単語,頻度,inuga_nakuto_garasuga_kowareruka.txt,単語,頻度,kagakuno_genkai.txt,単語,頻度,kagakuron.txt,単語,頻度,senrigan_sonota.txt,単語,頻度,shakaijijoto_kagakutekiseishin.txt,単語,頻度,kagaku_hohoron.txt,単語,頻度,gijutsuto_kagakutono_gainen.txt,単語,頻度,zerontoroji.txt,単語,頻度
,,,,おう,1,,好む,2,,,,,異,1,,,,,,,,,,,六,10,,意見,1,,号,5,,任意,2,,個体,1,,わけ,1,,当時,1,,あく,1,,措置,1,,職務,1,,泡,1,,たる,1,,広い,1,,有効,3,,底本,1,,,,,部分,1,,尤も,1,,まとめる,1,,いつ,1,,区点,1,,号,1,,刷,2,,,,,解釈,1,,てんじょう,1,,知能,2,,多量,1,,め,1,,子,4,,,,,青い,28,,諸般,1,,通す,1,,催眠,2,,碁,1,,特徴,1,,家,1,,青空,2,,シーメンス,1,,,,,〇,3,,キリスト,1,,全集,17,,あきる,2,,窒息,1,,相当,15,,系統,1,,寄こす,1
,,,,塩沢,1,,源,2,,,,,浮き彫り,1,,,,,,,,,,,困難,10,,一致,1,,達す,5,,周期,2,,境,1,,人,1,,最高,1,,朝,1,,危ぶむ,1,,さしつかえる,1,,あわ,1,,連続,1,,議する,1,,ん,3,,全集,1,,,,,抜け出す,1,,最後,1,,実証,1,,伴う,1,,番号,1,,矢野,1,,発行,2,,,,,成り立つ,1,,明く,1,,ガリ,2,,とき,1,,ニッケル,1,,とる,4,,,,,幾,28,,生物,1,,講義,1,,性,2,,将棋,1,,弁証法,1,,突風,1,,文庫,2,,提出,1,,,,,仕方,3,,教,1,,以外,17,,受ける,2,,覚える,1,,取る,15,,パテント,1,,時間,1
,,,,商人,1,,騒ぎ,2,,,,,核心,1,,,,,,,,,,,唯一,10,,急,1,,地上,5,,倍,2,,集まる,1,,否,1,,似合い,1,,間に合う,1,,人々,1,,北半球,1,,出る,1,,形成,1,,欧米,1,,責任,3,,巻,1,,,,,虚空,1,,留め,1,,見地,1,,上位,1,,ページ,1,,正人,1,,校正,2,,,,,無縁,1,,空間,1,,承認,2,,たえる,1,,帽子,1,,月,4,,,,,袋,28,,調和,1,,録,1,,石,2,,遊戯,1,,立場,1,,畑地,1,,ファイル,2,,白金,1,,,,,差,3,,信仰,1,,形,17,,かかわる,2,,過剰,1,,範囲,15,,取る,1,,名誉,1
,,,,商用,1,,旧い,2,,,,,導く,1,,,,,,,,,,,特徴,10,,前,1,,露,5,,少い,2,,成す,1,,如何,1,,うち,1,,始末,1,,食,1,,南半球,1,,冷やす,1,,観念,1,,全体,1,,分配,3,,書房,1,,,,,驚く,1,,尤,1,,同等,1,,今,1,,行,1,,松永,1,,作成,2,,,,,一般,1,,長い,1,,底本,2,,資格,1,,取外す,1,,進化,4,,,,,普通,28,,理性,1,,頭,1,,見事,2,,当時,1,,属する,1,,上り,1,,テキスト,1,,抵抗,1,,,,,匂い,3,,生物,1,,イギリス,17,,極める,2,,出る,1,,主客,15,,アメリカ,1,,室,1
,,,,上京,1,,少ない,2,,,,,細かい,1,,,,,,,,,,,国家,10,,驚く,1,,蜂,5,,感覚,2,,成,1,,唯物,1,,気がつく,1,,五,1,,直接,1,,秋,1,,銅,1,,持つ,1,,権限,1,,全国,3,,初出,1,,,,,速度,1,,一般人,1,,過誤,1,,通用,1,,近来,1,,正敏,1,,青空,2,,,,,呼ぶ,1,,足,1,,全集,2,,そなわる,1,,シャーレ,1,,側,4,,,,,錫,28,,刺激,1,,幾何,1,,越せる,2,,封建,1,,呈す,1,,くだる,1,,現れる,1,,放棄,1,,,,,敏感,3,,認める,1,,ブルジョアジー,17,,真偽,2,,遇う,1,,指す,15,,業者,1,,昼食,1
,,,,文人,1,,引く,2,,,,,しまう,1,,,,,,,,,,,化す,10,,驚かす,1,,沢山,5,,音色,2,,明言,1,,論,1,,四,1,,分の,1,,パン,1,,正当,1,,強い,1,,使い方,1,,勝手,1,,文化,3,,都,1,,,,,未来永劫,1,,出発,1,,動物,1,,書く,1,,愉快,1,,修正,1,,文庫,2,,,,,道,1,,探照灯,1,,校正,2,,換言,1,,水面,1,,証拠,4,,,,,空中,28,,ニュートン,1,,立派,1,,是,2,,いたずら,1,,如何,1,,押す,1,,付く,1,,カレンダー,1,,,,,鯛,3,,下等,1,,他方,17,,一節,2,,各人,1,,部,15,,貴重,1,,御馳走,1
,,,,雅,1,,早い,2,,,,,結局,1,,,,,,,,,,,形而上学,10,,声音,1,,運動,5,,未完,2,,忠実,1,,教える,1,,先輩,1,,減る,1,,消え去る,1,,温帯,1,,吸い出す,1,,技能,1,,妙,1,,結構,3,,新聞,1,,,,,良い,1,,如何,1,,大小,1,,小学校,1,,入り,1,,インターネット,1,,ファイル,2,,,,,はいる,1,,しょうとう,1,,作成,2,,かんげん,1,,浮かべる,1,,引き算,4,,,,,繭,28,,一見,1,,教,1,,お蔭,2,,秘伝,1,,現われる,1,,おろす,1,,文字,1,,探す,1,,,,,効く,3,,動物,1,,反覆,17,,万般,2,,昂奮,1,,名づける,15,,派生,1,,終り,1
,,,,客,1,,外国,2,,,,,空,1,,,,,,,,,,,理解,10,,こわい,1,,硝子,5,,序説,2,,翻訳,1,,界,1,,せん,1,,用,1,,進む,1,,限る,1,,音,1,,評価,1,,異なる,1,,右翼,3,,号,1,,,,,赤裸,1,,部族,1,,方円,1,,年生,1,,大々的,1,,図書館,1,,続編,1,,,,,動機,1,,空,1,,青空,2,,五体,1,,螺旋,1,,習慣,4,,,,,列,27,,捕捉,1,,ゆる,1,,なほ,2,,隔絶,1,,産物,1,,傾き,1,,列,1,,いくら,1,,,,,思う,3,,無性,1,,自体,17,,援助,2,,無意味,1,,家,15,,はと,1,,汽車,1
,,,,かく,1,,爆弾,2,,,,,まわり,1,,,,,,,,,,,同様,10,,違う,1,,陛下,5,,本質,2,,大体,1,,正確,1,,新顔,1,,担当,1,,ゆく,1,,事実,1,,ひしげる,1,,目標,1,,新しい,1,,客観,3,,矢野,1,,,,,天体,1,,見当る,1,,おかげ,1,,取り扱える,1,,全紙面,1,,作る,1,,テキスト,1,,,,,効力,1,,向ける,1,,ファイル,2,,ワクチン,1,,らせん,1,,しれる,4,,,,,フランス,27,,天体,1,,受け取る,1,,的,2,,普及,1,,矢,1,,はげしい,1,,始まり,1,,革命,1,,,,,さかん,3,,生殖,1,,プロレタリア,17,,細心,2,,乱舞,1,,抽象,15,,新た,1,,夏休み,1
,,,,結ぶ,1,,原料,2,,,,,用いる,1,,,,,,,,,,,建設,10,,盛る,1,,一月,5,,間,2,,巧,1,,初め,1,,きゅうする,1,,若い,1,,物資,1,,定まる,1,,思い立つ,1,,重大,1,,主人,1,,少ない,3,,正人,1,,,,,寒い,1,,彼等,1,,実験,1,,差支える,1,,割,1,,制作,1,,現れる,1,,,,,否,1,,また下,1,,テキスト,1,,製造,1,,尖端,1,,存する,4,,,,,働く,27,,運動,1,,目的,1,,詰め込む,2,,機会,1,,張り,1,,行なう,1,,特定,1,,運動,1,,,,,剤,3,,雌,1,,書物,16,,精,2,,知れる,1,,組み,15,,つけ加える,1,,席,1
,,,,生涯,1,,先方,2,,,,,自ら,1,,,,,,,,,,,単純,10,,内容,1,,種子,5,,現われる,2,,面白い,1,,交錯,1,,教える,1,,たち,1,,不足,1,,土地,1,,実行,1,,標準,1,,ヨーロッパ,1,,一流,3,,松永,1,,,,,曝す,1,,宗教,1,,理論,1,,壮麗,1,,諺,1,,あたる,1,,記号,1,,,,,疑わしい,1,,青森,1,,記号,1,,所,1,,押し下げる,1,,立派,4,,,,,巣箱,27,,重力,1,,結局,1,,いける,2,,失う,1,,歩く,1,,海陸,1,,注,1,,影,1,,,,,みかん,3,,子,1,,心,16,,典雅,2,,非常時,1,,原点,15,,程度,1,,立つ,1
,,,,北陸,1,,ソ連,2,,,,,逆行,1,,,,,,,,,,,中間,10,,考え,1,,貝,5,,はず,2,,気に入る,1,,少い,1,,くれる,1,,働く,1,,危機,1,,きまる,1,,寸,1,,種類,1,,皮膚,1,,手,3,,正敏,1,,,,,余計,1,,道徳,1,,公,1,,殿堂,1,,ことわざ,1,,ボランティア,1,,注,1,,,,,培養,1,,門司,1,,ルビ,1,,ぞうする,1,,沈没,1,,文明,4,,,,,うに,27,,一括,1,,直接,1,,穴,2,,利用,1,,契機,1,,呼ぶ,1,,主,1,,暗示,1,,,,,植物,3,,とり入れる,1,,知れる,16,,所以,2,,国内,1,,理性,15,,変更,1,,一緒,1
,,,,片田舎,1,,被害,2,,,,,場,1,,,,,,,,,,,日常,10,,別人,1,,天井,5,,草稿,2,,種類,1,,流,1,,せい,1,,くれる,1,,込む,1,,径路,1,,ポンプ,1,,程度,1,,さ,1,,採り上げる,3,,インターネット,1,,,,,着物,1,,医術,1,,見つけ出す,1,,築き上げる,1,,かい,1,,皆さん,1,,外字,1,,,,,土,1,,もじる,1,,注,1,,奉職,1,,せる,1,,関係,4,,,,,たち,27,,うた,1,,学ぶ,1,,なか,2,,同年,1,,みずから,1,,昼間,1,,外字,1,,多い,1,,,,,私,3,,会う,1,,学者,16,,ゆえん,2,,漲る,1,,場,15,,実行,1,,玄関,1
,,,,育つ,1,,感情,2,,,,,陶冶,1,,,,,,,,,,,整理,10,,皮,1,,液化,5,,量子力学,2,,あつい,1,,結構,1,,訪ねる,1,,無駄,1,,悲しむ,1,,異同,1,,ひどい,1,,述べる,1,,西洋,1,,後押し,3,,図書館,1,,,,,着せる,1,,戦争,1,,しか,1,,材料,1,,今,1,,,,,位置,1,,,,,同僚,1,,台北,1,,主,1,,技師,1,,曲りなり,1,,狂言,4,,,,,防ぐ,27,,く,1,,過ぎる,1,,内耳,2,,生れる,1,,工夫,1,,山,1,,傍点,1,,反す,1,,,,,片づく,3,,存在,1,,程,16,,幾分,2,,以来,1,,唯一,14,,云,1,,失敬,1
,,,,西欧,1,,つける,2,,,,,耐える,1,,,,,,,,,,,書,10,,剥ぐ,1,,ヘリウム,5,,煩瑣,2,,流石,1,,異い,1,,参観,1,,金,1,,存在,1,,波,1,,力,1,,字句,1,,没落,1,,内容,3,,作る,1,,,,,わけ,1,,独立,1,,大家,1,,増す,1,,特異,1,,,,,指定,1,,,,,氏,1,,たい,1,,外字,1,,技手,1,,表面張力,1,,発達,4,,,,,馬,27,,神,1,,間違う,1,,器官,2,,興味,1,,過剰,1,,頂く,1,,事象,1,,追究,1,,,,,物質,3,,確実,1,,全体,16,,吟味,2,,国土,1,,挙げる,14,,想定,1,,タクシー,1
,,,,かけ離れる,1,,大統領,2,,,,,自他,1,,,,,,,,,,,契機,10,,服装,1,,紙鳶,5,,２,2,,案出,1,,る,1,,だれ,1,,専用,1,,くい,1,,不同,1,,人力,1,,運算,1,,挽歌,1,,文庫,3,,制作,1,,,,,撫でる,1,,民族,1,,名,1,,縮める,1,,隠す,1,,,,,まう,1,,,,,言,1,,ほる,1,,位置,1,,亜,1,,算出,1,,すぐれる,4,,,,,朝,27,,声,1,,方角,1,,廻,2,,ひく,1,,批評,1,,谷,1,,連絡,1,,陳腐,1,,,,,燐,3,,優れる,1,,始まる,16,,材料,2,,変化,1,,反覆,14,,選択,1,,呼び止める,1
,,,,生長,1,,本当,2,,,,,承認,1,,,,,,,,,,,媒介,10,,なり,1,,汁,5,,著者,2,,フランス,1,,所産,1,,帰る,1,,そう,1,,下向き,1,,ちがえる,1,,以後,1,,器用,1,,ミトス,1,,醸成,3,,あたる,1,,,,,著しい,1,,頃,1,,博する,1,,骨,1,,生命,1,,,,,文章,1,,,,,借用,1,,風,1,,指定,1,,類,1,,ほめる,1,,器械,4,,,,,材料,27,,渾沌,1,,欠く,1,,達する,2,,万有引力,1,,嘘,1,,間にあう,1,,総括,1,,パラドックス,1,,,,,酸,3,,逆,1,,全般,16,,人事,2,,六,1,,困難,14,,傾向,1,,停車場,1
,,,,面,1,,外相,2,,,,,博す,1,,,,,,,,,,,出る,10,,一緒,1,,現れる,4,,今,2,,利く,1,,前,1,,理解,1,,乗り出す,1,,傾向,1,,まれ,1,,続く,1,,不器用,1,,郷愁,1,,藁,3,,ボランティア,1,,,,,多く,1,,自然,1,,泡沫,1,,折れる,1,,神秘,1,,,,,書く,1,,,,,いもり,1,,受信,1,,市子,1,,くう,1,,笑,1,,淘汰,4,,,,,進む,27,,こんとん,1,,土産,1,,述べる,2,,解く,1,,人類,1,,山谷,1,,言う,1,,かく,1,,,,,ソーダ,3,,窮極,1,,異,16,,上る,2,,悲痛,1,,失う,14,,好み,1,,概念,1
,,,,資料,1,,不足,2,,,,,生じる,1,,,,,,,,,,,適用,10,,着る,1,,記号,4,,必然,2,,名称,1,,重ねる,1,,ぼる,1,,程度,1,,上昇,1,,がら,1,,跡,1,,比例,1,,響き,1,,経営,3,,皆さん,1,,,,,つく,1,,型,1,,まつ,1,,仕事,1,,文化,1,,,,,瑣末,1,,,,,三,1,,機,1,,翻訳,1,,自分,1,,子供,1,,退歩,4,,,,,小麦,27,,消える,1,,常識,1,,皆さん,2,,微積分,1,,上る,1,,さん,1,,義務,1,,とく,1,,,,,主成分,3,,勉強,1,,直観,16,,想像,2,,体験,1,,地盤,14,,歩,1,,要する,1
,,,,成る,1,,考え,2,,,,,目,1,,,,,,,,,,,移行,10,,事,1,,代り,4,,思い込む,2,,当てる,1,,意識,1,,大変,1,,重要,1,,曲線,1,,輿論,1,,絶つ,1,,悪達者,1,,与える,1,,同様,3,,,,,,,,金盥,1,,懐く,1,,消える,1,,学生,1,,史上,1,,,,,部分,1,,,,,我国,1,,地面,1,,実業之日本社,1,,誤謬,1,,さ,1,,減少,4,,,,,電光,27,,闇,1,,結構,1,,降りる,2,,発明,1,,早急,1,,こい,1,,訓戒,1,,遅滞,1,,,,,医学,3,,達する,1,,偶然,16,,容れる,2,,経,1,,直す,14,,譲る,1,,訪問,1
,,,,弁,1,,壇上,2,,,,,出現,1,,,,,,,,,,,七,10,,詰問,1,,並べる,4,,物性,2,,感服,1,,心,1,,ちがい,1,,通り,1,,載せる,1,,よる,1,,盆,1,,内容,1,,過剰,1,,選挙,3,,,,,,,,かな,1,,従来,1,,生き残る,1,,報告,1,,懸案,1,,,,,事柄,1,,,,,くに,1,,要,1,,訳者,1,,びゅう,1,,させる,1,,唯物,4,,,,,種子,27,,やみ,1,,絵,1,,赤道,2,,関係,1,,角,1,,名づける,1,,定義,1,,衝動,1,,,,,昭和,3,,受ける,1,,比較,16,,はいる,2,,色彩,1,,離れる,14,,止める,1,,印象,1
,,,,三つ,1,,つくす,2,,,,,俗習,1,,,,,,,,,,,横たわる,10,,きつい,1,,磁石,4,,結び,2,,批判,1,,動き,1,,行,1,,実質,1,,絶,1,,衆議,1,,堆い,1,,反比例,1,,生ずる,1,,価値,3,,,,,,,,らい,1,,可,1,,思いつく,1,,書,1,,現代,1,,,,,核心,1,,,,,行う,1,,かえす,1,,手提,1,,実証,1,,傍,1,,始まり,3,,,,,火花,27,,隠れる,1,,引っぱる,1,,近海,2,,導き出す,1,,可能,1,,アジア,1,,法律,1,,与える,1,,,,,月,3,,妙,1,,所以,16,,注意,2,,濃厚,1,,なす,14,,宿題,1,,残る,1
,,,,へだてる,1,,もらう,2,,,,,頼り,1,,,,,,,,,,,表現,10,,もん,1,,合金,4,,文学,2,,内容,1,,一元,1,,言葉,1,,愚,1,,責任,1,,結果,1,,細君,1,,少ない,1,,自己,1,,発行,3,,,,,,,,熱帯,1,,単純,1,,骨,1,,独逸,1,,挑戦,1,,,,,人達,1,,,,,一流,1,,届く,1,,袋,1,,じっしょう,1,,かたい,1,,桁,3,,,,,はじめる,26,,帷,1,,廻す,1,,なくなる,2,,功績,1,,しめる,1,,大陸,1,,浅薄,1,,余燼,1,,,,,お腹,2,,一段,1,,制度,16,,払う,2,,達す,1,,組む,14,,解く,1,,働く,1
,,,,温い,1,,用,2,,,,,範,1,,,,,,,,,,,絶対,10,,要領,1,,加える,4,,宗教,2,,解剖,1,,徹底,1,,表現,1,,つく,1,,要請,1,,多数,1,,蛙,1,,跳躍,1,,原稿,1,,中谷,2,,,,,,,,地方,1,,風,1,,折る,1,,ドイツ,1,,新奇,1,,,,,話題,1,,,,,もらう,1,,狐,1,,よそ,1,,てく,1,,縁,1,,入力,3,,,,,さくらんぼ,26,,帳,1,,肝心,1,,弱い,2,,差等,1,,運動,1,,太平洋,1,,半面,1,,よじる,1,,,,,発電,2,,同一,1,,概論,15,,機嫌,2,,運命,1,,明白,14,,好都合,1,,街,1
,,,,おん,1,,国会,2,,,,,要素,1,,,,,,,,,,,要求,10,,得る,1,,金属,4,,見方,2,,発生,1,,抽象,1,,込,1,,女の子,1,,近代,1,,代表,1,,かえる,1,,圏外,1,,紙,1,,宇吉郎,2,,,,,,,,夥しい,1,,説,1,,つける,1,,学位,1,,原子力,1,,,,,思考,1,,,,,喜ぶ,1,,きつね,1,,出かける,1,,かめる,1,,磁力,1,,主,3,,,,,こんど,26,,ばり,1,,見物人,1,,状態,2,,論じる,1,,由々しい,1,,季節風,1,,試みる,1,,産,1,,,,,千,2,,線,1,,指す,15,,開く,2,,奮起,1,,コント,14,,根本,1,,綺麗,1
,,,,昇る,1,,金貸し,2,,,,,いくら,1,,,,,,,,,,,広い,10,,罪悪,1,,交ぜる,4,,面,2,,化石,1,,具象,1,,こ,1,,流行,1,,文明,1,,疑わしい,1,,いずれ,1,,逸出,1,,おうと,1,,薯,2,,,,,,,,アフリカ,1,,進める,1,,つまらない,1,,論文,1,,現出,1,,,,,個,1,,,,,偉大,1,,鼻,1,,待つ,1,,上,1,,測量,1,,底本,3,,,,,反対,26,,開く,1,,盲目,1,,夕方,2,,効果,1,,誤り,1,,モンスーン,1,,均等,1,,大戦,1,,,,,氷,2,,おく,1,,ギリシア,15,,載せる,2,,危機,1,,方程式,14,,動因,1,,道路,1
,,,,冷,1,,真面目,2,,,,,疑う,1,,,,,,,,,,,全体,10,,面持,1,,一体,4,,協力,2,,分布,1,,断念,1,,憶える,1,,歌,1,,とい,1,,志士,1,,彼,1,,本当,1,,沢山,1,,いも,2,,,,,,,,河口,1,,普通,1,,がむしゃら,1,,平気,1,,実在,1,,,,,結びつく,1,,,,,功績,1,,つまむ,1,,いろいろ,1,,もらう,1,,整理,1,,水準,3,,,,,胃袋,26,,玲瓏,1,,甲斐,1,,限る,2,,差別,1,,考え方,1,,われわれ,1,,じん,1,,影響,1,,,,,生命,2,,同様,1,,権威,15,,此処,2,,黙す,1,,ちる,13,,決定的,1,,隅,1
,,,,れい,1,,大臣,2,,,,,顔,1,,,,,,,,,,,感性,10,,おもい,1,,汽船,4,,底本,2,,時代,1,,二元論,1,,こむ,1,,以下,1,,差,1,,民衆,1,,考え,1,,くすぐる,1,,出版,1,,はし,2,,,,,,,,海岸,1,,ため,1,,取りつく,1,,途中,1,,予報,1,,,,,現実味,1,,,,,残す,1,,迷宮,1,,教育,1,,思う,1,,生意気,1,,本書,3,,,,,暑い,26,,れい,1,,びゅう,1,,分,2,,生じる,1,,見物,1,,冬期,1,,華厳経,1,,徴発,1,,,,,実業,2,,私,1,,存する,15,,ここ,2,,退く,1,,全体,13,,副次的,1,,自動車,1
,,,,到る,1,,あたる,2,,,,,角い,1,,,,,,,,,,,偶然,10,,もち,1,,接続,4,,刷,2,,溯る,1,,一物,1,,内の人,1,,扱う,1,,精神,1,,捜す,1,,勘違い,1,,実例,1,,ジャンル,1,,ワシントン,2,,,,,,,,一夜,1,,足りる,1,,わき目,1,,割算,1,,室,1,,,,,正当,1,,,,,家,1,,だい,1,,名著,1,,動,1,,持つ,1,,煩悶,3,,,,,坊さん,26,,ろう,1,,仮定,1,,かける,2,,既,1,,やり方,1,,受ける,1,,きょう,1,,刺戟,1,,,,,営利,2,,上下,1,,多く,15,,際,2,,国民,1,,是非,13,,逆,1,,驚異,1
,,,,温か,1,,伴う,2,,,,,封じる,1,,,,,,,,,,,保証,10,,争闘,1,,鏡,4,,発行,2,,猿,1,,見失う,1,,活,1,,旗印,1,,たす,1,,見つかる,1,,沸く,1,,場末,1,,大方,1,,出かける,2,,,,,,,,蔽う,1,,現物,1,,ふる,1,,此処,1,,新鋭,1,,,,,大きい,1,,,,,教訓,1,,きゅう,1,,目ざす,1,,植,1,,だす,1,,これら,3,,,,,済む,26,,天界,1,,頼る,1,,文字通り,2,,述,1,,半面,1,,北西,1,,理,1,,日常,1,,,,,ながめる,2,,関係,1,,終局,15,,やみ,2,,果す,1,,総合,13,,両者,1,,羨い,1
,,,,消える,1,,注意,2,,,,,許す,1,,,,,,,,,,,信仰,10,,始まる,1,,反射,4,,寅彦,2,,共同,1,,存する,1,,動く,1,,かかげる,1,,否める,1,,飢え,1,,要点,1,,玩具,1,,悪い,1,,機会,2,,,,,,,,足る,1,,製造,1,,進行,1,,ここ,1,,大勢,1,,,,,体験,1,,,,,垂れる,1,,使い,1,,早い,1,,鉱物,1,,馬鹿,1,,見当たる,3,,,,,殺す,26,,目前,1,,自身,1,,視界,2,,作用,1,,思い切る,1,,夏期,1,,説く,1,,疑い,1,,,,,手,2,,両者,1,,従う,15,,葬る,2,,国運,1,,力,13,,提出,1,,例外,1
,,,,雨,1,,高度,2,,,,,根拠,1,,,,,,,,,,,体験,10,,結局,1,,療法,4,,新潮社,2,,達する,1,,在り方,1,,養う,1,,固める,1,,顯,1,,泣く,1,,ロバート,1,,屋,1,,反す,1,,訪ねる,2,,,,,,,,鳩吹,1,,呼ぶ,1,,うち,1,,脱帽,1,,集う,1,,,,,無知,1,,,,,百,1,,途中,1,,起す,1,,社会,1,,真面目,1,,冊,3,,,,,尖る,26,,現われる,1,,考察,1,,上陸,2,,あれ,1,,近づく,1,,南,1,,包含,1,,容れる,1,,,,,見方,2,,論ずる,1,,純粋,15,,去る,2,,前途,1,,欠点,13,,二つ,1,,行,1
,,,,術語,1,,変る,2,,,,,条件,1,,,,,,,,,,,外見,10,,征服,1,,注意,4,,校正,2,,達す,1,,あてる,1,,目的,1,,国,1,,擧げる,1,,細民,1,,マイヤー,1,,おもちゃ,1,,陽気,1,,占領,2,,,,,,,,はと,1,,必然,1,,初め,1,,接す,1,,木,1,,,,,為政者,1,,,,,貰,1,,面妖,1,,健康,1,,存する,1,,受け入れる,1,,回,3,,,,,内側,26,,冒頭,1,,麻痺,1,,つく,2,,すばらしい,1,,許す,1,,がかる,1,,万象,1,,現象,1,,,,,表面,2,,議論,1,,主張,15,,封印,2,,災い,1,,向う,13,,要素,1,,飛行機,1
,,,,温度,1,,今後,2,,,,,議論,1,,,,,,,,,,,分子,10,,遥か,1,,ロシア,4,,作成,2,,能力,1,,嵌める,1,,特殊,1,,現われる,1,,ドイツ,1,,初鰹,1,,フラスコ,1,,店頭,1,,極端,1,,理由,2,,,,,,,,とる,1,,利用,1,,予期,1,,正しい,1,,日比谷,1,,,,,批難,1,,,,,もる,1,,めん,1,,人生,1,,思想,1,,赤子,1,,徳利,3,,,,,残す,26,,整調,1,,鵜,1,,目的,2,,きたる,1,,猫,1,,日本,1,,吹く,1,,邪道,1,,,,,深い,2,,道路,1,,基礎,15,,室,2,,自覚,1,,徹底,13,,取り扱う,1,,待つ,1
,,,,熱,1,,真理,2,,,,,心算,1,,,,,,,,,,,表わす,9,,強い,1,,点じる,4,,青空,2,,精神,1,,アインシュタイン,1,,電子,1,,地,1,,ハーン,1,,魚,1,,打つ,1,,絵本,1,,資源,1,,清教徒,2,,,,,,,,手,1,,有効,1,,重大,1,,絶対,1,,ひび,1,,,,,自体,1,,,,,く,1,,後,1,,形づくる,1,,そう,1,,大人,1,,入れる,3,,,,,流れ,26,,管弦楽,1,,うの,1,,小さい,2,,微細,1,,小判,1,,随筆,1,,桶,1,,視,1,,,,,私情,2,,便利,1,,一致,15,,安置,2,,包蔵,1,,否,13,,見当,1,,隣,1
,,,,概念,1,,当否,2,,,,,有益,1,,,,,,,,,,,原因,9,,学術,1,,当てる,4,,ファイル,2,,発達,1,,呼ぶ,1,,いや,1,,２,1,,衝突,1,,はつ,1,,振る,1,,尊い,1,,凡て,1,,面影,2,,,,,,,,合せる,1,,今後,1,,ぶつかる,1,,ちがう,1,,ビル,1,,,,,極度,1,,,,,此処,1,,確か,1,,方針,1,,風俗,1,,区別,1,,分,3,,,,,地震,26,,たとえる,1,,消化,1,,度々,2,,萌芽,1,,問う,1,,井上,1,,屋,1,,排斥,1,,,,,始まる,2,,通れる,1,,成果,15,,他愛,2,,徹底,1,,綿密,13,,つく,1,,見送り,1
,,,,訂正,1,,ふれる,2,,,,,終る,1,,,,,,,,,,,文学,9,,的,1,,時計,4,,テキスト,1,,歴史,1,,脱却,1,,繊維,1,,上げ,1,,放射能,1,,食う,1,,室,1,,失う,1,,換算,1,,限る,2,,,,,,,,ふきならす,1,,付き,1,,買いかぶる,1,,同種,1,,タイピスト,1,,,,,変,1,,,,,ここ,1,,結論,1,,小父,1,,ふう,1,,本格,1,,い,3,,,,,花弁,26,,最近,1,,歯,1,,うち,2,,ほう,1,,時,1,,靖,1,,喜ぶ,1,,巧,1,,,,,全般,2,,速い,1,,成立,15,,極まる,2,,見出す,1,,現代,13,,やすい,1,,昨日,1
